企业名称,招聘岗位,工作城市,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘类别,初级分类,学历要求_排序,要求经验_排序,平均月薪,薪资浮动,薪资等级,企业规模,行业类型,年终奖估算
朗致集团,资深Java工程师,北京,30000.0,35000.0,"职位使命：  
  1.集团信息化智能办公的开发，业务项目包括但不限于：AI，企业管理、财务管理、人力资源管理、销售管理、生产管理、供应链管理、云端服务等；  2.配合架构师引领公司java技术方向，做好技术预研；  3.解决java研发工程师遇到的各种技术难题；  
  基本任职要求：  1.本科及以上，计算机相关专业，8年以上java实际开发经验，优秀者可放宽至6年以上工作经验  2.精通java语言，级别对应P6以上，熟悉常用web框架，tcp/ip协议；  3.工作积极主动、稳重踏实、具有强烈责任心和快速学习能力，有医疗行业软件开发经验优先。",大专,5-10年,全职,医药制造,4,3,32500.0,5000.0,30K以上,大中型企业,医药健康,2500.0
合肥常创信息科技有限公司,Java软件开发工程师,合肥,8000.0,13000.0,"职责描述： 
 主要从事web应用程序开发。职位要求： 
 两年以上 web 应用程序开发经验熟悉Weblogic，Jboss，Tomact服务器熟练应用 HTML, CSS, JavaScript ，Java语言熟练使用 JSP, Servlet, XML and Struts框架熟练使用 Eclipse等IDE软件有关系型数据库设计开发经验，熟练使用SQL 与 RDBMS 工具，如ORACLE, SQL SERVER日语良好者优先薪资范围：根据技术能力，薪资范围：8000-12000/月",本科,3-5年,全职,计算机软件,5,2,10500.0,5000.0,8K-12K,大中型企业,IT互联网,2500.0
上海久光百货有限公司,IT主管/IT工程师/高级网络工程师,上海,10000.0,15000.0,岗位职责：1）负责网络平台、PDS系统、语音电话、网络行为管理、网络故障监控、病毒防范系统等相关日常维护工作，应对与协调解决各类需求和问题；2）负责网络通讯和电话线路的运维和布线工作。 任职要求：1）了解CISCO、H3C等其他主流网络厂商的产品，包括：路由器，ASA，CISCO call manager等产品；2）了解主流的网络安全技术，包括漏洞扫描、入侵、攻击和病毒分析，具备一定的DDOS攻防经验等安全知识；3）熟悉综合布线项目，可按百货零售业需求特点合理规划设计网络架构.,大专,3-5年,全职,零售/批发,4,2,12500.0,5000.0,12K-20K,大中型企业,零售贸易,2500.0
合肥常创信息科技有限公司,中级Java开发软件工程师,合肥,5000.0,10000.0,"职责描述： 
主要从事web应用程序开发。职位要求： 
两年以上 web 应用程序开发经验熟悉Weblogic，Jboss，Tomact服务器熟练应用 HTML, CSS, JavaScript ，Java语言熟练使用 JSP, Servlet, XML and Struts框架熟练使用 Eclipse等IDE软件有关系型数据库设计开发经验，熟练使用SQL 与 RDBMS 工具，如ORACLE, SQL SERVER  日语良好者优先薪资范围：  根据技术能力，薪资范围：5000-10000/月",本科,1-3年,全职,计算机软件,5,1,7500.0,5000.0,5K-8K,大中型企业,IT互联网,2500.0
北京龙双利达知识产权代理有限公司,人工智能算法工程师,南京,10000.0,15000.0,"岗位要求1、理工科硕士(通信、电子电路、计算机、人工智能、机械、自动化、控制、电气、仪器仪表、光学、微波、车辆工程、能源与动力、物理、生物医学工程、材料加工等专业方向)及以上学历，教育背景优秀，思维敏捷、逻辑性强，英语通过CET-6，500分以上优先（注：北京岗位要求CET-6成绩550分以上）；
2、关注前沿科技的最新动向和最新思想，善于技术沉淀、具备钻研意识，有跨专业、多学科学习的能力与意愿；3、真诚做人，踏实做事，敢于挑战，没有玻璃心，善于自省反思，不怕失败、且能从失败和错误中成长；4、良好的合作精神，具有同理心，能够及时响应并具有快速的执行力，；5、认同专利行业的职业发展前景，愿意在专利行业深耕，乐于终身学习、终身成长，寻求长久、稳步的发展和提升。岗位职能：1、负责国内外专利案件的检索、撰写及审查阶段文件处理；2、负责为客户提供高品质的专利服务，从专业的角度为客户提供全球专利布局发展规划和保护方案；3、视个人能力参与专利复审、无效、诉讼等事务，以专利为武器为客户争取权益。
培训体系行业及岗位知识培训专利培训 流程培训法律培训 英语培训前沿科技知识培训专业提升进阶培训……
福利待遇除全面且系统的培训外，我们还将为大家提供同行业内具有竞争力的薪资和福利待遇。五险一金 住房补贴 年度奖金季度奖金 交通补贴 餐费补贴高温补贴 生日礼物 节日红包  来源：马 克 数 据 网",硕士,经验不限,全职,专利/商标/知识产权,6,5,12500.0,5000.0,12K-20K,大中型企业,专业服务,2500.0
东方国信,Java开发工程师,郑州,8000.0,10000.0,"岗位职责：1.负责平台相关系统设计和开发；
2.根据公司相关规范编写设计文档、代码开发；
3.根据各方反馈及时有效地对服务进行优化，确保上线产品正确、平稳运行。  
     任职要求：   
       1、java开发相关经验2年以上；    
2、熟悉主流中间件，如springboot,spring ,spring clound,dubbo，zk、git、maven、Kafka、redis、mq、Hbase；    
3、拥有优秀的数据库设计和优化能力经验；拥有高性能、高并发、高可用性、高扩展性系统架构设计经验，有良好的编码习惯以及文档沉淀习惯；    
4、能接受加班、抗压能力强，沟通能力好。    
         关注微信公众号马克数据网",本科,5-10年,全职,计算机软件,5,3,9000.0,2000.0,8K-12K,其他,IT互联网,1000.0
SGS,化学实验室测试工程师,宁波,5000.0,8000.0,"职位描述：  1、根据客户要求，依据公司标准测试流程，负责完成日常的测试工作；  
  2、及时完成相关的测试记录和仪器使用记录的填写；  
  3、负责岗位对应的安全及质量体系工作；  
  4、完成主管安排的其它工作。  
     职位要求：    1、本科以上学历，化学相关专业；   
    2、有色谱、光谱仪器分析工作经验者优先；   
    3、持有工程师资格者优先考虑；   
    4、良好的沟通及团队合作精神；   
    5、诚信；   
    6、有良好的英语（CET4）和办公室操作软件的应用能力。       （更多数据，详见马克数据网）",本科,经验不限,全职,检测/认证,5,5,6500.0,3000.0,5K-8K,其他,专业服务,1500.0
三河比芯科技有限公司,硬件工程师（IoT产品）,深圳,15000.0,24000.0,"岗位职责：
1、 负责识别搭建部门的IoT应用场景， 提供技术分析和支持
2、 负责解决部门IoT模组产品的开发；
3、 负责对所需求的项目的计划和开发管理",大专,1-3年,全职,物联网,4,1,19500.0,9000.0,12K-20K,大中型企业,IT互联网,4500.0
三河比芯科技有限公司,硬件工程师,深圳,12000.0,24000.0,"工作职责:
1、从事物联网、智能控制等产品的电源、电机驱动器类产品的设计开发；
2、协助项目经理出具产品的硬件方案，进行硬件设计；
3、对新元器件进行分析评估；
4、对硬件设计进行调试；
5、协助PCB设计工程师和结构工程师的工作；
任职资格:
1、本科学历，电子信息工程、 电力电子、电气自动化、电机、电力拖动等相关专业优先。
2、两年以上相关工作经验。",本科,1-3年,全职,物联网,5,1,18000.0,12000.0,12K-20K,大中型企业,IT互联网,6000.0
深圳市小龙电器有限公司,嵌入式软件工程师,深圳,15000.0,25000.0,"岗位职责：  1、 按照规范的软件开发流程，完成软件的设计、编码和测试工作；  2、 STM32系列的单片机产品开发，硬件设计，软件编写，系统调试  3、 与市场团队紧密合作完成软件产品定义、计划制定及开发；  4、负责归纳和总结问题产生原因，并组织撰写相关文档。  
     
       任职要求：       1、从事视频摄像机产品和云台控制键盘开发经验者优先，特别在深圳维海德和深圳明扬时代的开发工程师优先录取。   
       2、 计算机技术或电子信息以及电子工程等相关专业本科以上学历，三年以上嵌入式软件开发经验；       3、 精通C/C++语言编程，精通嵌入式软件开发；       4、 熟悉Cortex M3/M4的LWIP应用及上位机软件开发项目者优先考虑；       5、 精通数字电路设计，可协助电子工程师完成原理图设计；热衷于产品研发和技术发展；具有强烈的责任意识和开放的心态；       6、 责任心强，具备良好的沟通、协调能力。       7、 为人正派，工作积极，责任性强，企业忠诚度高；       8、 做事认真细致，具备较强的规划、管控能力，       9、 CET-4以上，能正常阅读并理解IC规格书。",本科,3-5年,全职,专用设备制造,5,2,20000.0,10000.0,20K-30K,大中型企业,制造业,5000.0
天津东大化工集团有限公司,注册化工类安全工程师,天津,12000.0,13000.0,"1.对生产安全进行巡视。
2.发现不安全隐患及时纠正。",本科,1-3年,全职,农/林/牧/渔,5,1,12500.0,1000.0,12K-20K,大中型企业,农林牧渔,500.0
三一集团有限公司,C#开发工程师/经理,珠海,14000.0,25000.0,"1 负责ECS系统详细设计，编码及内部测试的组织实施。
2 负责向项目经理反馈软件开发情况，并根据实际情况提取改进建议
3 参与软件开发与维护过程中出现的重大技术问题的解决，参与软件首次安装调试，数据割接，用户培训和项目推广。
4 负责相关技术文件的拟订。
任职要求：
1、统招本科及以上学历，计算机、软件类专业；
2、2年以上C#软件开发经验，了解C/S或B/S框架，优秀应届生亦可； 
3、熟悉大型数据库sqlserver或Oracle等的开发；
4、良好的团队意识及协作精神，具有较强的内外沟通能力。",本科,1-3年,全职,专用设备制造,5,1,19500.0,11000.0,12K-20K,大中型企业,制造业,5500.0
福州聚英智能科技有限公司,C/C++开发工程师(服务器端),福州,7000.0,12000.0,"技能要求：  1、熟悉web服务器或相关网络服务器的搭建  2、熟悉Linux Shell 脚本编写  3、熟悉MySql数据库搭建，以及相关编程接口。  4、熟悉C/C++编程。  
  岗位职责：  1、负责公司后台大数据管理平台的Linux服务器搭建、功能模块的代码设计、编写、测试及维护工作。  
  任职要求：  1、本科以上学历，计算机相关专业。  2、有良好的文档编写，代码管理习惯，责任心强。  3、一年以上服务端开发经验。  4、熟练掌握C/C++编程语言，熟悉常用算法；  5、熟悉TCP/IP协议栈，熟悉Socket编程，熟悉常用网络并发模型；  6、熟练MySQL/SqlServer/Redis相关大型数据库和其编程接口；  7、有大数据管理服务器开发经验者优先。",本科,1-3年,全职,电子/半导体/集成电路,5,1,9500.0,5000.0,8K-12K,大中型企业,电子硬件,2500.0
陆融通达,网络安全工程师,北京,10000.0,15000.0,"岗位职责：1．基于网络安全的集成方案的撰写
2．公司关于网络安全项目的售前售后服务
3．公司相关网络安全项目涉及的设备调试
4．相关用户网络安全项目的维护任职资格：1．大学本科以上学历，计算机相关专业。 
2．2年以上网络安全相关工作经验。
3．了解等保的相关规定，并对安全事件有处理经验。
4．能熟练进行安全设备调试，故障处理，并具备良好的文档处理能力。 工作地址北京市朝阳区红军营路15号院瑞普大厦C座1806
。马 克 数 据 网",大专,3-5年,全职,IT服务,4,2,12500.0,5000.0,12K-20K,其他,IT互联网,2500.0
烟台成和软件有限公司,Java软件开发工程师,烟台,10000.0,18000.0,"职责描述： 
 主要从事web应用程序开发。 职位要求： 
 两年以上 web 应用程序开发经验 熟悉Weblogic，Jboss，Tomact服务器 熟练应用 HTML, CSS, JavaScript ，Java语言 熟练使用 JSP, Servlet, XML and Struts框架 熟练使用 Eclipse等IDE软件 有关系型数据库设计开发经验，熟练使用SQL 与 RDBMS 工具，如ORACLE, SQL SERVER 日语良好者优先",本科,1-3年,全职,计算机软件,5,1,14000.0,8000.0,12K-20K,大中型企业,IT互联网,4000.0
北京融创智合科技有限公司,高级Java开发工程师,北京,18000.0,26000.0,"岗位职责：  1. 负责项目总体规划、方案制定、业务梳理、开发组织与项目验收  2. 负责项目技术选型、简单框架搭建、进度与节点把控  3. 负责项目团队人员管理与协调  4. 负责项目技术文档审查与撰写  5. 负责解决核心技术问题与指导  
  任职要求：  1. 精通web开发，掌握springboot、SSM等主流技术框架  2. 精通Oracle、mysql等主流数据库，有较强SQL编写能力  3. 精通weblogic、tomcat等服务器的应用部署与配置  4. 掌握redis、mq等中间件使用  5. 有高并发项目开发经验，掌握限流、熔断等技术  6. 具有规范编程习惯与文档撰写能力  7. 有责任心，为人正直，积极向上  （macrodatas.cn） （来 自 马 克 数 据 网）",本科,5-10年,全职,计算机软件,5,3,22000.0,8000.0,20K-30K,大中型企业,IT互联网,4000.0
软通动力信息技术(集团)股份有限公司,Java开发工程师,东莞,10000.0,20000.0,Java开发（初中高级都需要）  1、 熟练使用主流Java开发框架：Sping MVC、Hibernate、MyBatis有实际项目经验  2、 精通Java基础语言  3、 软件相关项目工作经验2年以上  4、具有良好的沟通表达能力和需求分析能力,本科,1-3年,全职,互联网,5,1,15000.0,10000.0,12K-20K,大中型企业,IT互联网,5000.0
大鱼视觉技术(河南)有限公司,算法工程师,洛阳,9000.0,18000.0,"岗位职责：

1、负责基于图像的图像处理、识别、定位、检测和跟踪算法和的设计、开发和调试；

2、收集研究行业内新的技术、算法，不断提高系统对图形图像识别的效率与准确率；

3、根据项目需求，完成视觉设备图像处理算法的实现，针对已有检测算法进行性能优化；

4、完成技术文档的编写，配合团队完成项目计划进度。

任职要求：

1、图像处理、模式识别、机器视觉、自动化及应用数学等相关专业；

2、有图像分割、图像配准、图像识别经验，熟练使用VS开发平台，精通C/C++开发语言；

3、掌握数字图像处理及机器视觉的基础理论和算法知识，熟悉OpenCV等视觉算法库优先考虑；

4、具备良好的代码书写规范和文档编写能力；

5、有图像处理、模式识别的自动化项目经验； 

6、具备团队合作精神，有良好的人际沟通能力； 

7、有责任心、事业心，进取心、勤奋踏实，能够在压力下独立工作。

工作地点：洛阳、西安、成都 

  （macrodatas.cn） （来 自 马 克 数 据 网）",本科,经验不限,全职,专用设备制造,5,5,13500.0,9000.0,12K-20K,大中型企业,制造业,4500.0
东华软件股份公司,3DGIS地理信息高级开发工程师,枣庄,8000.0,16000.0,"1、计算机技术、地理信息技术等相关专业，大专以上学历（含大专），三年以上工作经验
2、使用超图SuperMap、易智瑞ArcGis、SkyLine、伟景行CityMaker、中科院MapGIS等3D-GIS软件开发过一张图项目
3、精通Javascript和VUE高级开发语言，有CAD图纸读取开发经验
4、熟悉Cesium、OsgEarth、GeoServer、MapServer等开源3DGIS软件开发者优先",大专,3-5年,全职,计算机软件,4,2,12000.0,8000.0,12K-20K,大中型企业,IT互联网,4000.0
东华软件股份公司,3DGIS三维地理信息高级开发工程师,淄博,8000.0,16000.0,"1、计算机技术、地理信息技术等相关专业，大专以上学历（含大专），三年以上工作经验
2、使用超图SuperMap、易智瑞ArcGis、SkyLine、伟景行CityMaker、中科院MapGIS等3D-GIS软件开发过一张图项目
3、精通Javascript和VUE高级开发语言，有CAD图纸读取开发经验
4、熟悉Cesium、OsgEarth、GeoServer、MapServer等开源3DGIS软件开发者优先",大专,3-5年,全职,计算机软件,4,2,12000.0,8000.0,12K-20K,大中型企业,IT互联网,4000.0
北京红戎信安技术有限公司,前端研发工程师（网络信息安全服务）,北京,10000.0,15000.0,"岗位职责：1、负责网站、微信公众号、微信小程序的前端开发和与后端交互数据接口定义，同后端工程师合作，完成交互实现、数据交互、动态信息展现，实现界面和功能； 
2、关注用户体验，提出改进意见； 3、为多终端、多浏览器内核、多平台提供技术解决方案；4、配合后台工程师一起研讨技术实现方案，进行应用及系统整合。  
任职要求：1、1-3年以上PC端、移动端开发经验；2、熟悉Ajax原理，熟练掌握Javascript、(X)HTML、CSS等语言，熟练应用dom、xml、json等相关技术；3、熟悉html5相关特性，了解HTTP协议，了解网站性能优化，技术体验优化，熟练跨浏览器、跨终端开发；4、熟练掌握Vue.js、element ui等web框架及相关的开发工具；5、有微信小程序开发经验者优先。。关注微信公众号马克数据网",本科,1-3年,全职,网络/信息安全,5,1,12500.0,5000.0,12K-20K,大中型企业,IT互联网,2500.0
LG电子(天津)电器有限公司,开发工程师,天津,5000.0,7000.0,"岗位描述： 1、空调/压缩机/微波炉 产品新型开发及结构开发工作；
2、使用UG制图软件结构部品图纸制作；
3、结构设计及模具开发；
4、产品品质改善相关机构部品分析；
5、BOM登陆及印刷物开发工作 
6、 产品匹配试验 
 

任职要求： 1、本科,制暖/冷通/机械/电气工程/自动化等类或相关专业
2、熟悉电子部品的一般常识; 
3、熟悉UG制图,会使用CAD等软件 
4、有其他空调或制冷设备公司经验者优先",本科,经验不限,全职,电气机械/电力设备,5,5,6000.0,2000.0,5K-8K,大中型企业,制造业,1000.0
安徽英泰曼特电子有限公司,硬件工程师,芜湖,8000.0,9000.0,1、负责在电子产品系统方案设计阶段提出硬件设计方案和设计评审；  2、负责电子产品开发，设计硬件原理图；   3、对PCB板进行layout，并根据具体的板型及项目进行优化与调整；  4、根据机构件设计变更，对定型产品进行后续相关改版工作；  5、负责完成相关的技术文件的编制，如FMEA、DVP等；  6、负责对电子产品生产环节中需要使用的设备、测试工具进行规划，并提出相关解决方案；  7、负责与电子元器件供应商进行技术交流，对元器件进行选型并对供应商提供的样品进行性能测试；  8、负责与PCB板制作厂商进行技术对接，输出gerber文件，拼板等工作；  9、负责对PCB板手工样件进行制作、调试，协助软件工程师进行调试，并对相关电路进行测试与优化  10、负责对故障件进行分析并及时反馈；  11、负责电子产品的EMC测试任务的进行及禁用物质试验的任务进行及跟踪；  12、大学本科以上学历，3年以上汽车电子硬件设计相关经验；  13、具备扎实的数字、模拟电路理论知识并有相关的设计开发经验；  14、能熟练使用示波器等相关测试设备；  15、熟练使用protel，Altium Designer，CAD等绘图软件；  16、有丰富的电子元器件知识，有较强的动手能力，能独立完成硬件设计，布局，并有硬件设计的审核能力等；  17、了解单片机相关技术知识，理解单片机的工作机制；,本科,3-5年,全职,汽车零部件,5,2,8500.0,1000.0,8K-12K,大中型企业,制造业,500.0
史丹利,EHS安全工程师,临沂,8000.0,12000.0,本科及以上学历，安全、化工、环保类专业，责任心强，熟悉国家相关安全环保政策法规。1、 对安全工作进行常规检查，并定期组织人员进行安全培训；2、对车间、施工现场进行专项检查；3、监督落实各车间、部门安全隐患整改情况；4、检查落实各车间部门建立健全各种考核、整改、检查台帐情况。5、能接受外派（承德、宁陵、新疆轮台）,本科,1-3年,全职,石油/石化,5,1,10000.0,4000.0,8K-12K,其他,能源化工,2000.0
四川都睿感控科技有限公司,嵌入式硬件开发工程师,成都,8000.0,12000.0,基本技能：1、 能熟练运用Altium designer 、Protel等电路板设计软件，熟悉PCB板的绘制及布线技巧，了解上述软件的部分高级功能及运用方法。2、 模电、数电基础较好，有嵌入式的开发经验，可以独立开发系统，可组织系统开发，有敬业精神，并和公司一起成长。岗位要求：1、 根据团队任务布置情况，高质量地完成好本职工作。2、 对已完成的工作做好必要的资料总结、交接资料工作。3、 尊重团队的工作决策及工作内容要求，服从工作任务的安排。,本科,3-5年,全职,工业自动化,5,2,10000.0,4000.0,8K-12K,大中型企业,制造业,2000.0
上海恒为云驰信息技术有限公司武汉分公司,测试工程师-J10208,上海,7000.0,11000.0,"岗位职责：1、与业务线和工厂沟通了解需求；2、编写面向硬件产品工厂生产的自动化程序；3、编写面向硬件产品的重复性测试的自动化脚本；4、开发面向硬件产品生产测试平台类程序。
任职资格：1、本科及以上学历，一年以上相关工作经验；2、python和linux shell编程经验；3、有责任心，沟通协作能力较好。",本科,1-3年,全职,通信/网络设备,5,1,9000.0,4000.0,8K-12K,大中型企业,电子硬件,2000.0
